SIR,LDR,Delay,Answer
801,963,179,
809,1151,216,
821,980,453,
353,424,105,
803,1200,433,
917,1117,264,
583,778,352,
923,1206,255,
742,1119,111,
960,1031,146,
540,674,260,
538,712,225,
598,699,173,
66,223,406,
66,322,477,
599,845,458,
914,1180,173,
63,369,478,
239,280,246,
301,361,454,
887,1005,465,
336,532,223,
804,1181,167,
979,1172,485,
829,1151,69,
695,841,362,
329,651,255,
844,878,78,
239,323,334,
30,166,60,
632,968,95,
316,626,386,
678,822,245,
505,891,307,
771,1050,393,
67,246,442,
448,778,95,
451,464,144,
487,646,289,
97,210,176,
144,174,70,
480,626,174,
854,1104,280,
245,294,245,
525,551,387,
641,830,204,
540,629,110,
451,566,64,
935,1327,145,
419,628,89,
