SIR,LDR,Delay,Answer
147,442,389,1
987,1074,431,0
508,670,396,0
293,597,34,1
167,203,459,0
449,815,449,1
223,616,247,1
49,294,475,1
126,162,285,0
868,1234,121,1
408,608,150,1
797,1191,248,1
664,780,116,0
70,429,121,1
301,457,375,1
995,1091,370,0
118,386,405,1
369,381,75,0
145,171,324,0
263,561,68,1
450,627,123,1
470,504,47,1
968,985,105,0
271,555,164,1
678,1037,241,1
610,1002,149,1
743,974,307,1
36,148,241,1
994,1166,273,0
169,399,127,1
988,1121,385,0
330,689,408,1
945,1230,194,1
681,937,125,1
726,1008,379,1
800,886,29,1
981,1242,158,1
397,574,293,1
841,1049,402,0
480,593,249,1
42,314,223,1
82,373,497,1
315,694,418,1
650,762,370,0
746,872,210,0
347,499,307,0
32,218,359,1
537,892,383,1
452,741,348,1
955,1172,323,0
