SIR,LDR,Delay,Answer
231,265,384,1
661,835,274,1
487,573,68,1
337,569,342,1
904,968,114,0
520,825,443,1
137,363,200,1
974,1181,216,0
583,617,106,0
967,1294,414,1
432,501,312,1
168,220,61,1
644,969,294,1
294,633,478,1
534,614,27,1
166,234,292,1
249,411,258,1
437,652,226,1
134,144,394,0
815,921,405,0
661,1021,267,1
845,1004,35,1
492,605,191,1
293,463,124,1
146,165,201,0
375,484,93,1
344,639,472,1
973,1095,356,0
898,963,97,1
436,513,165,1
651,872,377,1
987,1200,264,1
935,994,239,0
568,719,246,1
501,893,136,1
78,450,181,1
67,273,271,1
64,321,451,1
155,459,161,1
539,686,165,1
617,703,58,0
524,593,327,0
629,804,22,1
585,944,476,1
665,884,409,0
880,1039,275,1
749,1075,354,1
702,1085,474,1
218,589,226,1
610,718,338,0
