SIR,LDR,Delay,Answer
801,963,179,0
809,1151,216,0
821,980,453,0
353,424,105,0
803,1200,433,0
917,1117,264,0
583,778,352,0
923,1206,255,0
742,1119,111,1
960,1031,146,0
540,674,260,0
538,712,225,0
598,699,173,0
66,223,406,1
66,322,477,1
599,845,458,0
914,1180,173,0
63,369,478,1
239,280,246,0
301,361,454,0
887,1005,465,0
336,532,223,0
804,1181,167,1
979,1172,485,0
829,1151,69,1
695,841,362,0
329,651,255,1
844,878,78,0
239,323,334,0
30,166,60,1
632,968,95,1
316,626,386,0
678,822,245,0
505,891,307,0
771,1050,393,0
67,246,442,1
448,778,95,1
451,464,144,0
487,646,289,0
97,210,176,1
144,174,70,0
480,626,174,0
854,1104,280,0
245,294,245,0
525,551,387,0
641,830,204,0
540,629,110,0
451,566,64,0
935,1327,145,1
419,628,89,1
