SIR,LDR,Delay,Answer
801,963,179,NA
809,1151,216,NA
821,980,453,NA
353,424,105,NA
803,1200,433,NA
917,1117,264,NA
583,778,352,NA
923,1206,255,NA
742,1119,111,NA
960,1031,146,NA
540,674,260,NA
538,712,225,NA
598,699,173,NA
66,223,406,NA
66,322,477,NA
599,845,458,NA
914,1180,173,NA
63,369,478,NA
239,280,246,NA
301,361,454,NA
887,1005,465,NA
336,532,223,NA
804,1181,167,NA
979,1172,485,NA
829,1151,69,NA
695,841,362,NA
329,651,255,NA
844,878,78,NA
239,323,334,NA
30,166,60,NA
632,968,95,NA
316,626,386,NA
678,822,245,NA
505,891,307,NA
771,1050,393,NA
67,246,442,NA
448,778,95,NA
451,464,144,NA
487,646,289,NA
97,210,176,NA
144,174,70,NA
480,626,174,NA
854,1104,280,NA
245,294,245,NA
525,551,387,NA
641,830,204,NA
540,629,110,NA
451,566,64,NA
935,1327,145,NA
419,628,89,NA
989,1000,96,NA
987,1163,79,NA
493,658,496,NA
571,868,406,NA
867,921,109,NA
533,737,367,NA
838,972,49,NA
865,1001,486,NA
675,1020,45,NA
427,653,39,NA
852,957,457,NA
67,231,32,NA
121,194,488,NA
480,811,292,NA
305,361,311,NA
235,261,77,NA
617,859,50,NA
192,367,441,NA
512,614,169,NA
675,886,407,NA
221,268,440,NA
255,326,202,NA
47,426,98,NA
906,1243,104,NA
134,373,286,NA
54,55,117,NA
55,75,61,NA
19,25,53,NA
31,85,7,NA
14,25,19,NA
47,50,160,NA
15,35,13,NA
25,60,14,NA
78,80,162,NA
40,55,62,NA
11,30,7,NA
67,75,119,NA
34,35,186,NA
27,50,21,NA
69,85,91,NA
49,60,89,NA
80,85,157,NA
24,35,29,NA
33,80,14,NA
28,30,179,NA
34,50,30,NA
25,30,80,NA
41,75,20,NA
54,60,111,NA
54,80,30,NA
22,25,136,NA
20,55,7,NA
